tcga_barcode,scanner,magnification,transfer_syntax,photometric
TCGA-AC-A23G-01Z-00-DX1,Leica/Aperio,40x,JPEG 2000,YBR_ICT
TCGA-AC-A23C-01Z-00-DX1,Leica/Aperio,40x,JPEG 2000,YBR_ICT
TCGA-AC-A62V-01Z-00-DX1,Leica/Aperio,40x,JPEG 2000,YBR_ICT
TCGA-AC-A2FO-01Z-00-DX1,Leica/Aperio,40x,JPEG 2000,YBR_ICT
TCGA-MS-A51U-01Z-00-DX1,Leica/Aperio,20x,JPEG Baseline,RGB
TCGA-AC-A6IV-01Z-00-DX1,Leica/Aperio,40x,JPEG 2000,YBR_ICT
TCGA-AC-A3W5-01Z-00-DX1,Leica/Aperio,40x,JPEG Baseline,RGB
TCGA-AN-A0XW-01Z-00-DX1,Leica/Aperio,40x,JPEG Baseline,RGB
TCGA-A7-A6VX-01Z-00-DX2,Leica/Aperio,40x,JPEG Baseline,RGB
TCGA-PL-A8LV-01A-01-DX1,Leica/Aperio,40x,JPEG Baseline,RGB
TCGA-PL-A8LZ-01A-01-DX1,Leica/Aperio,40x,JPEG Baseline,RGB
TCGA-A7-A13G-01Z-00-DX1,Leica/Aperio,40x,JPEG Baseline,RGB
TCGA-A8-A0AB-01Z-00-DX1,Zeiss/Mirax,40x,JPEG 2000,RGB
TCGA-AC-A3W6-01Z-00-DX1,Leica/Aperio,20x,JPEG Baseline,RGB
TCGA-HN-A2NL-01Z-00-DX1,Leica/Aperio,20x,JPEG Baseline,RGB
TCGA-OL-A66H-01Z-00-DX1,Zeiss/Mirax,20x,JPEG Baseline,RGB
TCGA-AO-A1KQ-01Z-00-DX1,Leica/Aperio,20x,JPEG 2000,YBR_ICT
TCGA-AO-A1KP-01Z-00-DX1,Leica/Aperio,20x,JPEG 2000,YBR_ICT
TCGA-A8-A081-01Z-00-DX1,Zeiss/Mirax,40x,JPEG Baseline,RGB
TCGA-A8-A096-01Z-00-DX1,Zeiss/Mirax,40x,JPEG Baseline,RGB
TCGA-A8-A09E-01Z-00-DX1,Zeiss/Mirax,40x,JPEG Baseline,RGB
TCGA-AO-A1KS-01Z-00-DX1,Leica/Aperio,20x,JPEG 2000,YBR_ICT
